dataset,x,y
clase2,64.0280813016,27.6726855125
clase2,77.4966517463,14.9485235577
clase2,77.6346517616,14.461853927
clase2,77.86372642890001,14.610677649100001
clase2,77.3381581659,15.890054658
clase2,76.1804165329,15.9125737458
clase2,77.2526510945,15.1515170246
clase2,77.4133752817,15.221927976199998
clase2,76.7318493982,16.2168461441
clase2,49.4711054118,25.063019306199998
clase2,42.4765399431,18.338473563599997
clase2,43.595115862200004,19.9942009773
clase2,50.3399696652,26.4713966117
clase2,40.748980256100005,16.1821416622
clase2,38.3865255803,14.5802151464
clase2,38.4040152085,14.4519484496
clase2,38.7642788913,14.365590474400001
clase2,41.4701423265,17.2780334445
clase2,47.1554048146,22.3779325323
clase2,39.5825667453,17.6484528361
clase2,41.7402438167,17.8293243101
clase2,39.3118718889,15.6407169743
clase2,41.6798476925,17.7459190133
clase2,39.0874644519,15.1223039378
clase2,41.4815028637,18.0474374446
clase2,77.6060865492,15.162872538299998
clase2,75.9826615205,16.3069223786
clase2,76.94575724239999,15.858478334
clase2,77.5437200743,15.253949149
clase2,77.5847398447,15.8300393854
clase2,76.8223042562,15.595165319500001
clase2,77.3485716647,15.7745292395
clase2,77.5731526867,14.7806458332
clase2,77.9726106776,14.9556987461
clase2,41.528919758600004,24.9164251896
clase2,43.722550803400004,19.0773278036
clase2,79.32607817510001,52.9003912897
clase2,56.663974081499994,87.9401250067
clase2,57.8217892319,90.6931665489
clase2,58.2431718991,92.1043278652
