room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
83615,184400,Entire home/apt,Estrela,15,4.0,4,1.0,93.0
83933,335614,Entire home/apt,São Vicente,157,4.5,4,1.0,93.0
84599,181902,Entire home/apt,Santa Maria Maior,50,4.5,6,2.0,91.0
85270,383078,Entire home/apt,Santa Maria Maior,144,5.0,5,3.0,122.0
87723,480371,Entire home/apt,São Vicente,27,4.5,6,2.0,115.0
88230,184400,Entire home/apt,Santa Maria Maior,3,5.0,6,3.0,173.0
88282,184400,Entire home/apt,Santo António,1,0.0,4,1.0,87.0
88312,482911,Entire home/apt,Santo António,37,5.0,4,2.0,75.0
88410,483396,Entire home/apt,São Vicente,26,4.5,4,1.0,87.0
89015,485573,Entire home/apt,Misericórdia,11,5.0,4,2.0,115.0
90387,490050,Private room,Santo António,204,5.0,2,1.0,46.0
90559,184400,Entire home/apt,Santo António,2,0.0,4,1.0,87.0
90931,184400,Entire home/apt,Santo António,14,4.5,4,2.0,104.0
93111,500020,Entire home/apt,Santa Maria Maior,285,5.0,2,1.0,52.0
93349,3897446,Entire home/apt,Misericórdia,6,4.5,4,1.0,95.0
93829,183877,Entire home/apt,São Vicente,31,4.5,2,1.0,44.0
95212,502806,Entire home/apt,Misericórdia,61,5.0,6,3.0,98.0
97503,515924,Private room,Santo António,39,4.0,2,1.0,26.0
101200,530574,Private room,São Domingos de Benfica,2,0.0,1,1.0,35.0
103252,538753,Entire home/apt,São Vicente,11,5.0,4,1.0,91.0
105092,546144,Entire home/apt,Santa Maria Maior,89,4.5,4,2.0,70.0
105962,106839925,Entire home/apt,Parque das Nações,29,5.0,4,1.0,69.0
106051,550030,Entire home/apt,Estrela,56,4.5,4,2.0,87.0
108058,557442,Private room,Alvalade,24,5.0,1,1.0,27.0
116672,211826,Entire home/apt,São Vicente,273,5.0,2,1.0,46.0
118653,599213,Entire home/apt,São Vicente,56,4.0,6,2.0,87.0
119120,387186,Entire home/apt,Estrela,136,5.0,4,2.0,73.0
120554,606629,Entire home/apt,São Vicente,21,4.0,6,3.0,93.0
120617,184400,Entire home/apt,Campo de Ourique,21,4.5,4,2.0,173.0
120697,607028,Private room,Santa Maria Maior,138,5.0,2,1.0,42.0
122572,614156,Private room,São Domingos de Benfica,0,0.0,2,1.0,64.0
122998,615634,Entire home/apt,Misericórdia,35,4.5,2,1.0,71.0
124558,620702,Entire home/apt,Santa Maria Maior,126,4.5,6,2.0,75.0
125431,623759,Entire home/apt,Santa Maria Maior,148,4.5,2,1.0,35.0
125536,624049,Private room,Santa Maria Maior,170,4.5,2,1.0,40.0
125578,624049,Entire home/apt,Santa Maria Maior,69,4.5,2,1.0,46.0
125848,624278,Entire home/apt,São Vicente,86,4.5,3,1.0,64.0
126646,628095,Private room,Penha de França,98,4.5,3,1.0,31.0
126793,573194,Private room,Santo António,22,4.5,2,1.0,19.0
129822,639944,Private room,Parque das Nações,50,4.5,2,1.0,55.0
130708,643374,Private room,Arroios,105,4.5,2,1.0,38.0
131619,647439,Entire home/apt,Arroios,227,4.5,4,2.0,39.0
133645,656138,Entire home/apt,Santa Maria Maior,144,4.5,3,1.0,58.0
134065,624049,Private room,Santa Maria Maior,211,4.5,2,1.0,29.0
134438,659768,Entire home/apt,São Vicente,96,4.5,4,1.0,46.0
135261,663233,Entire home/apt,Misericórdia,124,4.5,4,2.0,69.0
135493,184400,Entire home/apt,Estrela,0,0.0,10,4.0,173.0
137054,656138,Entire home/apt,Santa Maria Maior,95,4.5,3,1.0,52.0
137434,671930,Entire home/apt,Parque das Nações,0,0.0,6,2.0,138.0
138929,677938,Entire home/apt,Santa Maria Maior,116,4.5,3,1.0,40.0
138999,678222,Entire home/apt,Santa Maria Maior,71,5.0,5,2.0,104.0
140080,682628,Entire home/apt,Misericórdia,19,4.5,11,5.0,145.0
143802,697224,Entire home/apt,São Vicente,117,4.5,8,3.0,68.0
143882,697596,Entire home/apt,Alvalade,0,0.0,3,2.0,577.0
144851,701650,Entire home/apt,Misericórdia,26,5.0,4,1.0,93.0
147932,713828,Entire home/apt,São Vicente,3,3.5,6,1.0,98.0
148511,716988,Entire home/apt,Santa Maria Maior,24,4.5,4,1.0,80.0
149274,676330,Entire home/apt,Misericórdia,63,4.5,4,1.0,58.0
149332,720461,Entire home/apt,Santa Maria Maior,48,4.5,2,1.0,58.0
149589,721565,Entire home/apt,Santa Maria Maior,30,5.0,3,1.0,73.0
150895,726687,Entire home/apt,Santa Maria Maior,29,4.5,3,1.0,69.0
150945,726687,Entire home/apt,Santa Maria Maior,58,4.5,2,1.0,52.0
151327,727771,Entire home/apt,Santa Maria Maior,261,5.0,4,1.0,56.0
154501,743167,Entire home/apt,Santa Maria Maior,66,4.5,4,2.0,166.0
155303,746717,Entire home/apt,Beato,0,0.0,2,1.0,69.0
155865,749485,Entire home/apt,Alcântara,76,4.5,6,2.0,75.0
159243,764012,Entire home/apt,Misericórdia,144,5.0,6,2.0,93.0
159464,764012,Entire home/apt,Misericórdia,130,4.5,6,2.0,104.0
159473,764012,Entire home/apt,Misericórdia,101,4.5,6,2.0,99.0
159761,184400,Entire home/apt,Misericórdia,8,4.0,12,5.0,288.0
161268,1554338,Entire home/apt,Misericórdia,106,4.5,7,2.0,109.0
161293,778848,Entire home/apt,Arroios,149,4.5,6,2.0,114.0
162533,776635,Entire home/apt,Santa Maria Maior,9,4.5,3,1.0,52.0
164397,784164,Private room,Avenidas Novas,0,0.0,2,1.0,115.0
166098,743167,Entire home/apt,Santa Maria Maior,55,4.5,4,1.0,125.0
166114,791812,Entire home/apt,Santa Maria Maior,104,5.0,4,1.0,80.0
168227,801495,Entire home/apt,Campolide,16,5.0,2,1.0,52.0
170657,814003,Entire home/apt,Estrela,68,5.0,3,1.0,52.0
170853,814983,Private room,Arroios,9,4.0,1,1.0,29.0
172014,820718,Private room,Alvalade,77,4.5,4,1.0,45.0
172248,507901,Private room,Alvalade,38,4.5,2,1.0,29.0
172455,822877,Entire home/apt,Santa Maria Maior,141,5.0,4,1.0,57.0
172638,823780,Entire home/apt,Santa Maria Maior,235,5.0,2,1.0,64.0
172646,823785,Private room,Arroios,6,4.5,2,1.0,26.0
172715,824067,Entire home/apt,Misericórdia,95,4.5,2,1.0,57.0
174064,830888,Entire home/apt,Misericórdia,90,5.0,6,3.0,76.0
174529,833952,Entire home/apt,São Vicente,39,4.5,4,1.0,56.0
174850,835470,Entire home/apt,Misericórdia,55,5.0,6,2.0,80.0
175940,624049,Private room,Santa Maria Maior,203,4.5,2,1.0,35.0
176153,842219,Entire home/apt,Misericórdia,438,5.0,4,2.0,102.0
176914,1029524,Entire home/apt,Misericórdia,75,4.5,8,3.0,122.0
178515,753902,Entire home/apt,Santa Maria Maior,53,4.5,6,3.0,75.0
178524,753902,Entire home/apt,Santa Maria Maior,162,4.5,6,3.0,98.0
181107,867993,Private room,Arroios,80,5.0,2,1.0,31.0
184211,883321,Entire home/apt,Avenidas Novas,13,4.5,9,4.0,80.0
184888,887175,Entire home/apt,Parque das Nações,7,4.5,6,2.0,115.0
185126,184400,Entire home/apt,Misericórdia,15,4.5,12,4.0,346.0
186742,897614,Entire home/apt,Misericórdia,85,5.0,4,2.0,78.0
186996,899179,Entire home/apt,Santa Maria Maior,10,4.5,3,1.0,64.0
187059,743167,Entire home/apt,Santa Maria Maior,60,4.5,2,0.0,102.0
187442,901710,Entire home/apt,Santa Maria Maior,244,5.0,4,2.0,79.0
189676,915146,Entire home/apt,Misericórdia,151,5.0,4,0.0,87.0
190091,917694,Entire home/apt,Campo de Ourique,55,5.0,5,3.0,184.0
193321,515924,Private room,Santo António,18,5.0,1,1.0,23.0
194023,941411,Private room,Campo de Ourique,16,4.5,7,1.0,21.0
196195,951913,Entire home/apt,Penha de França,100,4.5,5,2.0,38.0
196619,144484,Entire home/apt,Penha de França,0,0.0,4,1.0,75.0
198480,640147,Entire home/apt,Lumiar,6,5.0,2,1.0,48.0
199461,914126,Entire home/apt,Santa Maria Maior,32,5.0,4,2.0,109.0
202150,989393,Entire home/apt,Santa Maria Maior,274,5.0,4,2.0,62.0
202654,992647,Entire home/apt,Belém,54,4.0,2,1.0,45.0
203167,798869,Entire home/apt,Misericórdia,18,4.5,5,1.0,78.0
203177,798869,Entire home/apt,Misericórdia,15,4.5,4,1.0,64.0
204434,1004069,Private room,Santa Maria Maior,168,5.0,2,1.0,40.0
205519,184400,Entire home/apt,Misericórdia,15,5.0,5,2.0,104.0
205532,184400,Entire home/apt,Santa Maria Maior,9,5.0,4,1.0,122.0
208683,753902,Entire home/apt,Santa Maria Maior,63,4.5,4,2.0,69.0
210714,1039097,Private room,Estrela,5,3.5,4,1.0,64.0
211616,1091599,Entire home/apt,Santa Maria Maior,105,4.5,4,1.0,79.0
212549,1096085,Entire home/apt,Misericórdia,173,4.5,2,1.0,69.0
212915,1097919,Private room,Benfica,0,0.0,6,1.0,93.0
214694,1108043,Private room,Santa Maria Maior,51,5.0,2,1.0,46.0
214729,1108485,Private room,Alvalade,4,4.5,1,1.0,35.0
216881,1119812,Entire home/apt,Alvalade,22,4.5,6,2.0,74.0
217187,1121762,Entire home/apt,Santa Maria Maior,91,4.5,2,1.0,40.0
218280,710165,Private room,Campo de Ourique,0,0.0,2,1.0,32.0
220359,1142308,Entire home/apt,Avenidas Novas,45,4.5,4,1.0,52.0
222942,1157493,Private room,Arroios,1,0.0,2,1.0,62.0
224040,1165468,Private room,Misericórdia,10,5.0,2,1.0,46.0
224316,1167290,Private room,Santo António,42,5.0,2,1.0,46.0
227224,1185103,Entire home/apt,Santa Maria Maior,103,5.0,6,1.0,74.0
227225,3897446,Entire home/apt,Misericórdia,14,4.0,4,1.0,95.0
229846,624278,Entire home/apt,São Vicente,83,4.0,3,1.0,57.0
231002,1207800,Private room,Santo António,0,0.0,1,1.0,18.0
231385,1208572,Private room,Areeiro,40,5.0,3,1.0,29.0
231855,1212503,Entire home/apt,Santa Maria Maior,59,5.0,6,3.0,162.0
232858,1218614,Entire home/apt,Santa Maria Maior,3,4.0,5,2.0,162.0
235404,1233522,Entire home/apt,Santa Maria Maior,103,4.5,4,1.0,68.0
236138,1237805,Entire home/apt,Misericórdia,70,4.5,3,1.0,67.0
236176,520870,Entire home/apt,São Vicente,105,4.5,4,3.0,102.0
239018,1253359,Private room,Avenidas Novas,139,5.0,2,1.0,38.0
241682,1268582,Entire home/apt,Estrela,5,5.0,3,2.0,87.0
242394,1271930,Entire home/apt,São Domingos de Benfica,13,4.5,8,3.0,64.0
243490,1277626,Entire home/apt,Santa Maria Maior,187,4.5,4,1.0,68.0
244494,1282676,Entire home/apt,Santa Maria Maior,2,0.0,6,2.0,162.0
248849,495593,Entire home/apt,Penha de França,143,4.5,4,1.0,58.0
250288,647439,Entire home/apt,Santa Maria Maior,251,4.5,2,1.0,36.0
250491,1312785,Entire home/apt,Arroios,15,4.5,2,1.0,76.0
252744,1327000,Entire home/apt,Misericórdia,8,5.0,8,3.0,143.0
253441,1330745,Entire home/apt,Misericórdia,67,4.5,4,1.0,69.0
254571,184400,Entire home/apt,Santo António,50,4.5,8,4.0,346.0
256093,1346663,Entire home/apt,Misericórdia,170,5.0,3,1.0,76.0
256122,1346813,Entire home/apt,Santo António,5,5.0,4,2.0,64.0
257480,1354982,Entire home/apt,Santa Maria Maior,196,4.5,4,1.0,69.0
257560,1328660,Entire home/apt,Santa Maria Maior,121,5.0,4,1.0,71.0
261733,1373142,Entire home/apt,Misericórdia,202,4.5,4,2.0,69.0
262251,1375871,Private room,Avenidas Novas,0,0.0,1,1.0,75.0
262616,996180,Entire home/apt,Santo António,46,5.0,4,1.0,109.0
263399,405842,Entire home/apt,Campolide,14,4.0,6,3.0,69.0
266358,1270923,Private room,Arroios,190,4.5,2,1.0,35.0
266659,1398359,Private room,Misericórdia,4,5.0,2,1.0,83.0
267235,1039097,Entire home/apt,Santo António,36,4.0,5,2.0,87.0
268343,1406453,Entire home/apt,Misericórdia,77,4.5,6,3.0,132.0
271430,1416183,Entire home/apt,Santa Maria Maior,42,4.5,4,2.0,127.0
272438,1416183,Entire home/apt,Santa Maria Maior,35,4.5,4,1.0,102.0
272947,1428237,Entire home/apt,Estrela,7,5.0,4,2.0,93.0
274547,1416183,Entire home/apt,Santa Maria Maior,31,4.5,4,2.0,64.0
276795,1445970,Entire home/apt,Misericórdia,44,4.5,4,2.0,196.0
279549,1457564,Entire home/apt,Misericórdia,112,5.0,7,3.0,173.0
279804,1458917,Entire home/apt,Estrela,46,5.0,4,1.0,80.0
280219,1333192,Entire home/apt,São Vicente,11,5.0,4,2.0,98.0
281407,1466881,Entire home/apt,Santo António,1,0.0,10,3.0,208.0
281639,1468017,Private room,Ajuda,38,4.5,2,1.0,46.0
286153,1489229,Shared room,Campolide,29,4.5,2,1.0,21.0
286672,1382192,Entire home/apt,Santa Maria Maior,13,5.0,4,3.0,80.0
286706,1466881,Entire home/apt,Santo António,5,4.0,6,1.0,138.0
287007,1493269,Entire home/apt,Misericórdia,121,5.0,4,1.0,87.0
287874,1496930,Entire home/apt,Misericórdia,57,4.5,10,5.0,253.0
291676,682628,Entire home/apt,Misericórdia,3,4.5,6,2.0,81.0
291999,1029524,Entire home/apt,Misericórdia,148,4.5,6,2.0,98.0
295749,1526948,Entire home/apt,Santa Maria Maior,19,5.0,6,3.0,213.0
299321,199452,Entire home/apt,Santo António,337,5.0,2,1.0,87.0
300116,1255219,Entire home/apt,Beato,0,0.0,3,3.0,114.0
300827,1549585,Entire home/apt,Misericórdia,118,4.5,4,2.0,81.0
300875,1549585,Entire home/apt,Santa Maria Maior,141,4.5,4,1.0,64.0
300914,1549585,Entire home/apt,Santa Maria Maior,135,4.0,3,0.0,55.0
301264,1552056,Entire home/apt,Arroios,32,4.5,6,2.0,93.0
301755,1554338,Entire home/apt,Misericórdia,56,4.5,7,2.0,98.0
301871,1552056,Entire home/apt,Santo António,26,5.0,4,1.0,104.0
303692,1552056,Entire home/apt,Arroios,48,4.5,6,2.0,80.0
304025,682628,Entire home/apt,Misericórdia,17,4.5,7,3.0,98.0
304028,682628,Entire home/apt,Misericórdia,16,4.0,9,4.0,172.0
304902,136230,Entire home/apt,Misericórdia,90,4.5,4,1.0,45.0
305088,3897446,Entire home/apt,Estrela,1,0.0,3,1.0,90.0
306191,1574678,Entire home/apt,Misericórdia,266,4.5,4,1.0,47.0
307666,1582924,Entire home/apt,Parque das Nações,8,5.0,4,1.0,76.0
307683,727771,Entire home/apt,Santa Maria Maior,179,5.0,4,1.0,69.0
308287,1496930,Entire home/apt,Misericórdia,55,4.5,5,2.0,93.0
311031,1599678,Entire home/apt,Santa Maria Maior,0,0.0,4,1.0,104.0
311040,1599678,Entire home/apt,Santa Maria Maior,1,0.0,4,1.0,98.0
311047,1599678,Entire home/apt,Santa Maria Maior,3,3.5,4,1.0,98.0
313854,1271930,Entire home/apt,Santo António,36,4.5,4,1.0,57.0
317916,1631771,Private room,Estrela,344,4.5,2,1.0,27.0
319825,1639832,Entire home/apt,São Vicente,38,5.0,4,1.0,105.0
320603,1416183,Entire home/apt,Santa Maria Maior,14,5.0,5,2.0,156.0
321426,989287,Entire home/apt,Arroios,4,4.5,4,2.0,87.0
322284,1650507,Entire home/apt,Santa Maria Maior,83,4.5,6,2.0,122.0
324570,1660874,Private room,Santo António,0,0.0,2,0.0,46.0
327792,1664323,Private room,Arroios,29,4.5,2,1.0,26.0
327945,1675942,Entire home/apt,Santa Maria Maior,254,5.0,3,0.0,52.0
333311,1695029,Entire home/apt,São Vicente,241,5.0,3,1.0,58.0
333919,507901,Private room,Alvalade,48,4.0,3,1.0,40.0
335344,1707481,Entire home/apt,Misericórdia,78,4.5,6,2.0,87.0
335382,604695,Entire home/apt,Santo António,2,0.0,2,1.0,109.0
336832,701650,Entire home/apt,São Vicente,37,4.5,6,2.0,94.0
337665,1716000,Entire home/apt,Santo António,43,5.0,6,2.0,160.0
340574,1727918,Private room,Campo de Ourique,0,0.0,1,1.0,69.0
341268,1277626,Entire home/apt,Santa Maria Maior,169,4.5,2,1.0,68.0
342657,1707186,Private room,Arroios,95,4.5,2,1.0,35.0
343011,1740444,Entire home/apt,Misericórdia,84,4.5,5,2.0,58.0
343912,604695,Entire home/apt,Santo António,0,0.0,4,1.0,179.0
344035,1730158,Entire home/apt,Misericórdia,16,5.0,5,2.0,93.0
347518,1756107,Entire home/apt,Santa Maria Maior,29,4.5,5,2.0,117.0
347530,1756107,Entire home/apt,Santa Maria Maior,4,4.0,5,2.0,107.0
348764,1767259,Entire home/apt,Misericórdia,223,5.0,2,1.0,46.0
349459,1770472,Entire home/apt,Santa Maria Maior,62,5.0,4,1.0,56.0
349971,1466881,Entire home/apt,Santo António,3,4.5,11,4.0,231.0
349974,1466881,Entire home/apt,Santo António,3,5.0,10,3.0,196.0
349975,1466881,Shared room,Santo António,0,0.0,4,1.0,115.0
354431,1794425,Entire home/apt,Misericórdia,139,5.0,6,2.0,93.0
358781,1815773,Private room,Avenidas Novas,35,5.0,2,1.0,35.0
364652,1836346,Entire home/apt,Arroios,123,5.0,2,1.0,80.0
366752,1851592,Private room,Beato,64,4.5,2,1.0,21.0
369360,1593947,Private room,Santo António,127,5.0,2,1.0,35.0
370051,1787815,Private room,Estrela,11,4.5,1,1.0,29.0
370774,1868448,Entire home/apt,Misericórdia,1,0.0,2,1.0,118.0
372953,1660499,Entire home/apt,Santa Maria Maior,56,5.0,4,2.0,75.0
376134,1891161,Entire home/apt,Parque das Nações,12,5.0,4,1.0,162.0
376774,1894092,Entire home/apt,Estrela,81,4.5,2,1.0,52.0
379156,1039097,Entire home/apt,Estrela,7,4.5,4,1.0,64.0
381013,1643990,Entire home/apt,Campo de Ourique,57,4.5,3,2.0,93.0
383282,1282676,Entire home/apt,Santa Maria Maior,4,5.0,4,1.0,109.0
385235,1928060,Entire home/apt,Misericórdia,48,4.5,3,1.0,93.0
387376,1282676,Entire home/apt,Santa Maria Maior,0,0.0,6,2.0,122.0
387414,1282676,Entire home/apt,Misericórdia,1,0.0,6,2.0,156.0
387461,1029524,Entire home/apt,Santo António,63,4.5,6,2.0,69.0
392912,607028,Entire home/apt,Santa Maria Maior,274,5.0,2,1.0,64.0
393402,11969316,Entire home/apt,Campo de Ourique,52,4.5,2,1.0,40.0
393699,1593947,Private room,Santo António,113,4.5,2,3.0,35.0
393700,1593947,Entire home/apt,Santo António,48,5.0,10,3.0,173.0
395874,1165468,Entire home/apt,Misericórdia,112,4.5,2,1.0,52.0
397178,1984345,Entire home/apt,Avenidas Novas,44,4.5,6,2.0,93.0
401831,126008,Entire home/apt,Arroios,21,4.5,4,2.0,80.0
403131,1969293,Entire home/apt,Misericórdia,4,5.0,7,3.0,109.0
403167,1969293,Entire home/apt,Misericórdia,11,4.0,6,2.0,109.0
403260,1654712,Entire home/apt,Santa Maria Maior,59,4.5,6,2.0,104.0
403751,2013435,Entire home/apt,Santa Maria Maior,120,4.5,6,2.0,58.0
403760,1654712,Entire home/apt,Santa Maria Maior,72,4.5,4,1.0,98.0
404177,1969293,Entire home/apt,Misericórdia,12,4.5,9,4.0,133.0
404192,1969293,Entire home/apt,Misericórdia,20,4.0,11,5.0,148.0
405399,1788136,Entire home/apt,São Vicente,94,4.0,4,2.0,113.0
407467,606901,Entire home/apt,Arroios,71,5.0,6,3.0,103.0
407623,2030219,Private room,São Vicente,46,4.5,2,1.0,40.0
408344,2033544,Entire home/apt,Estrela,13,5.0,4,1.0,58.0
411639,1654712,Entire home/apt,Santa Maria Maior,19,5.0,10,3.0,346.0
412022,2050911,Entire home/apt,Santo António,30,4.5,3,1.0,69.0
414171,1549585,Entire home/apt,São Vicente,90,4.0,4,1.0,57.0
414621,2062006,Entire home/apt,Santo António,56,5.0,7,3.0,122.0
416929,2073678,Private room,Arroios,202,4.5,2,1.0,23.0
417448,2075804,Entire home/apt,Santo António,14,5.0,4,1.0,69.0
417477,426650,Entire home/apt,Santa Maria Maior,127,4.5,4,1.0,65.0
418945,2083563,Private room,Belém,2,0.0,2,1.0,127.0
420238,2089770,Entire home/apt,Arroios,1,0.0,4,1.0,167.0
422485,1928060,Entire home/apt,Misericórdia,68,5.0,6,3.0,138.0
423612,2087756,Entire home/apt,Santo António,15,4.5,4,1.0,93.0
425416,2058070,Private room,Misericórdia,144,4.5,6,1.0,45.0
425645,704061,Private room,Avenidas Novas,16,3.0,7,1.0,26.0
426204,671930,Entire home/apt,Parque das Nações,1,0.0,4,2.0,162.0
426411,671930,Entire home/apt,Parque das Nações,0,0.0,2,1.0,75.0
426412,671930,Entire home/apt,Parque das Nações,0,0.0,4,2.0,104.0
427653,2125391,Entire home/apt,Santa Maria Maior,75,4.5,3,0.0,45.0
428021,798869,Entire home/apt,Misericórdia,15,4.0,4,1.0,64.0
428784,914126,Entire home/apt,Santa Maria Maior,23,5.0,5,2.0,138.0
428785,914126,Entire home/apt,Santa Maria Maior,60,5.0,4,2.0,115.0
431224,2143736,Entire home/apt,Misericórdia,91,5.0,4,2.0,69.0
431706,2146386,Entire home/apt,Santa Maria Maior,78,4.5,3,1.0,64.0
438431,2101702,Entire home/apt,São Vicente,183,4.5,4,1.0,69.0
439079,2174752,Entire home/apt,Santa Maria Maior,18,4.5,8,3.0,196.0
439435,2182895,Private room,Santa Maria Maior,205,4.5,2,1.0,46.0
439447,2182931,Entire home/apt,Santa Maria Maior,129,5.0,6,2.0,95.0
439559,2174752,Entire home/apt,Santa Maria Maior,5,3.5,9,3.0,109.0
439888,2068065,Entire home/apt,Misericórdia,2,0.0,4,1.0,58.0
444996,2211068,Private room,Misericórdia,168,5.0,2,1.0,69.0
447832,2223892,Entire home/apt,Misericórdia,318,5.0,3,1.0,80.0
448556,2174752,Entire home/apt,Santa Maria Maior,13,4.5,4,2.0,87.0
448688,2174752,Entire home/apt,Santa Maria Maior,4,4.5,6,2.0,93.0
449080,2229758,Entire home/apt,Santa Maria Maior,46,4.5,4,1.0,32.0
450115,1969293,Entire home/apt,Santa Maria Maior,41,4.5,8,3.0,122.0
450240,2174752,Entire home/apt,Santa Maria Maior,6,4.5,9,4.0,277.0
450707,2229758,Entire home/apt,Santa Maria Maior,79,4.0,2,1.0,28.0
451116,2240699,Entire home/apt,Misericórdia,3,5.0,4,2.0,144.0
451351,181902,Entire home/apt,Santa Maria Maior,86,4.5,10,3.0,103.0
451473,181902,Entire home/apt,Santa Maria Maior,82,4.5,11,3.0,98.0
453233,2252054,Entire home/apt,Santa Maria Maior,145,4.5,2,1.0,48.0
453655,2174752,Entire home/apt,Santa Maria Maior,20,4.5,3,1.0,109.0
453782,2174752,Entire home/apt,Santa Maria Maior,20,4.0,9,4.0,242.0
454086,2174752,Entire home/apt,Santa Maria Maior,30,4.5,11,4.0,277.0
454143,2174752,Entire home/apt,Santa Maria Maior,2,0.0,4,1.0,98.0
454209,2229758,Entire home/apt,Santa Maria Maior,58,4.0,3,1.0,28.0
454217,2229758,Entire home/apt,Santa Maria Maior,79,4.0,3,1.0,25.0
454298,2229758,Entire home/apt,Santa Maria Maior,61,4.5,4,1.0,33.0
454306,2229758,Entire home/apt,Santa Maria Maior,62,4.5,3,1.0,29.0
454328,2229758,Entire home/apt,Santa Maria Maior,78,4.5,3,1.0,26.0
455053,2103745,Private room,Avenidas Novas,2,0.0,2,2.0,46.0
457972,2276749,Entire home/apt,Misericórdia,73,4.0,4,1.0,39.0
458731,798869,Entire home/apt,Misericórdia,13,3.5,5,1.0,78.0
458979,2174752,Entire home/apt,Santa Maria Maior,20,4.0,4,1.0,87.0
460344,2174752,Entire home/apt,São Vicente,0,0.0,4,1.0,87.0
460648,2174752,Entire home/apt,Santa Maria Maior,21,4.0,2,1.0,69.0
460694,2174752,Entire home/apt,Misericórdia,1,0.0,2,1.0,93.0
460739,2174752,Entire home/apt,Misericórdia,3,4.5,2,1.0,93.0
460812,2174752,Entire home/apt,Santa Maria Maior,8,3.5,7,2.0,104.0
464325,606884,Entire home/apt,Santa Maria Maior,49,4.0,3,1.0,52.0
465001,798869,Entire home/apt,Misericórdia,42,4.0,5,1.0,78.0
465071,1549585,Entire home/apt,Santa Maria Maior,82,4.0,6,2.0,67.0
471483,1549585,Entire home/apt,Misericórdia,53,4.0,3,1.0,60.0
472183,2341627,Entire home/apt,Belém,64,4.5,4,1.0,67.0
474818,2353669,Entire home/apt,Santa Maria Maior,181,4.5,4,1.0,57.0
476049,2359843,Private room,São Domingos de Benfica,0,0.0,1,1.0,29.0
476063,2359843,Private room,São Domingos de Benfica,0,0.0,1,1.0,29.0
478989,862470,Entire home/apt,Santa Maria Maior,44,5.0,8,4.0,64.0
479691,2376032,Entire home/apt,Misericórdia,117,4.5,5,2.0,69.0
481237,2383254,Entire home/apt,Santa Maria Maior,44,5.0,6,3.0,81.0
481288,2383548,Entire home/apt,Estrela,91,4.5,3,1.0,52.0
483897,2381723,Entire home/apt,Avenidas Novas,113,5.0,5,2.0,58.0
484029,2396271,Entire home/apt,Misericórdia,79,4.5,4,1.0,75.0
484157,2396948,Entire home/apt,Misericórdia,114,5.0,2,1.0,69.0
486249,2381313,Entire home/apt,São Vicente,104,4.5,7,3.0,208.0
486291,1725290,Entire home/apt,São Vicente,187,4.5,6,2.0,69.0
487394,2412046,Entire home/apt,Santa Maria Maior,219,5.0,2,1.0,46.0
487633,2412924,Entire home/apt,Santa Maria Maior,207,5.0,2,1.0,69.0
