pelicula,año,ratings,genero,ventas,presupuesto,secuela,vistas_youtube,positivos_youtube,negativos_youtube,comentarios,seguidores_agregados
The One I Love,2014,7.1,8,512000,100000.0,1,1223891,1309,148,239,226000.0
The Other Woman,2014,6.0,8,83900000,40000000.0,1,8479994,35071,2233,3479,2731000.0
The Purge: Anarchy,2014,6.5,1,71500000,9000000.0,2,1142295,3895,193,882,49424.0
The Pyramid,2014,4.7,15,2750000,6500000.0,1,4092871,8781,794,2046,420000.0
The Rover,2014,6.4,10,1110000,12250000.0,1,702,1,0,1,9842.0
The Salvation,2014,6.8,3,5000,11712310.56,1,253631,170,11,58,0.0
The Theory of Everything,2014,7.8,9,35900000,15000000.0,1,3226251,18240,261,2104,8204.0
The Water Diviner,2014,7.2,3,4190000,22500000.0,1,3281842,4968,445,2099,1899400.0
The Woman in Black 2: Angel of Death,2014,4.9,3,26500000,1000000.0,2,698,16,1,9,3086.0
Think Like a Man Too,2014,5.7,8,65200000,24000000.0,2,2063089,5858,336,346,24388000.0
Transcendence,2014,6.3,3,23000000,100000000.0,1,14141585,36646,1459,6811,5987.0
Transformers: Age of Extinction,2014,5.8,1,245000000,210000000.0,4,170909,791,362,230,2814900.0
Tusk,2014,5.4,8,1820000,2800000.0,1,473100,670,104,380,180100.0
Unbroken,2014,7.2,9,116000000,65000000.0,1,6637551,19833,815,3403,269000.0
Veronica Mars,2014,6.8,10,3320000,6000000.0,1,476747,2079,166,232,2536000.0
When the Game Stands Tall,2014,6.6,3,30100000,15000000.0,1,280566,477,56,82,585000.0
Whiplash,2014,8.6,3,13100000,3300000.0,1,7750223,17541,631,2760,858000.0
White God,2014,6.9,3,280000,2487820.27,1,166612,571,36,70,0.0
Wild,2014,7.2,2,37900000,15000000.0,1,5976092,9343,649,1333,781200.0
Wild Tales,2014,8.2,8,3080000,3300000.0,1,697105,1023,39,429,0.0
Winter's Tale,2014,6.2,3,22500,60000000.0,1,719976,1312,76,189,1810000.0
Wish I Was Here,2014,6.7,8,3590000,6000000.0,1,865690,1375,79,67,1818778.0
X-Men: Days of Future Past,2014,8.1,1,234000000,200000000.0,7,2285,9,0,1,10280000.0
Yves Saint Laurent,2014,6.2,9,717000,12000000.0,1,550734,894,44,77,168700.0
Jurassic World,2015,7.3,1,643000000,150000000.0,4,9143740,34746,1074,5107,6180000.0
Avengers: Age of Ultron,2015,7.8,1,458000000,250000000.0,2,10366624,31552,989,3843,10070000.0
Furious 7,2015,7.4,1,350000000,190000000.0,7,59056,330,8,39,11890000.0
Inside Out,2015,8.6,12,345000000,175000000.0,1,1438926,4632,262,496,232000.0
Minions,2015,6.6,1,325000000,74000000.0,2,1341909,1607,764,48,250000.0
Pitch Perfect 2,2015,6.7,8,183000000,29000000.0,2,9214467,39824,998,1987,7336000.0
Mission: Impossible - Rogue Nation,2015,7.8,3,171000000,150000000.0,5,8748596,20352,649,1842,6605000.0
Home,2015,6.7,8,177000000,135000000.0,1,10341783,24413,1675,3426,5070000.0
Fifty Shades of Grey,2015,4.2,3,166000000,40000000.0,1,31859569,49900,13960,9119,946000.0
The SpongeBob Movie: Sponge Out of Water,2015,6.1,8,162000000,74000000.0,2,5536822,29411,1840,1281,184000.0
San Andreas,2015,6.4,1,154000000,110000000.0,1,12632836,36508,2210,7559,9737600.0
Mad Max: Fury Road,2015,8.3,1,153000000,150000000.0,4,2732371,13030,497,1774,768700.0
Straight Outta Compton,2015,8.3,9,135000000,28000000.0,1,848970,12607,237,1560,55618.0
Insurgent,2015,6.4,2,130000000,110000000.0,2,2834800,5664,5746,66,4240000.0
Spy,2015,7.3,1,110000000,65000000.0,1,6649290,20750,750,1666,265000.0
Trainwreck,2015,6.7,12,105000000,35000000.0,1,9511288,19903,2581,2955,2014000.0
Tomorrowland,2015,6.6,12,93200000,190000000.0,1,999867,4212,66,250,1198000.0
Get Hard,2015,6.1,8,90400000,40000000.0,1,10078326,26565,1418,2395,2939000.0
Terminator Genisys,2015,6.8,1,89400000,155000000.0,5,84870,265,13,63,3877901.0
Ted 2,2015,6.6,8,81300000,68000000.0,2,6711914,29903,984,1767,10988000.0
Paul Blart: Mall Cop 2,2015,4.3,1,71000000,30000000.0,2,2389347,8809,935,892,1618000.0
Pixels,2015,5.6,1,71000000,88000000.0,1,5340100,26134,2007,3717,2466000.0
Magic Mike XXL,2015,6.2,8,65900000,14800000.0,2,5128288,18475,858,1579,8392000.0
The Wedding Ringer,2015,6.7,8,64500000,23000000.0,1,4826940,10521,478,755,2284000.0
Vacation,2015,6.3,2,54900000,31000000.0,5,2554327,10062,464,871,2347000.0
Fantastic Four,2015,4.0,1,52700000,120000000.0,1,7560211,24168,3524,7139,881000.0
Poltergeist,2015,5.0,15,47400000,35000000.0,1,3651828,13998,969,2205,1066.0
Jupiter Ascending,2015,5.5,1,47400000,176000000.0,1,3920842,10535,565,1668,7460000.0
The Age of Adaline,2015,7.3,3,42500000,25000000.0,1,11036701,50002,1005,3525,776000.0
Max,2015,7.0,1,41900000,20000000.0,1,2947239,19201,625,1842,2113.0
The Longest Ride,2015,7.2,3,37400000,34000000.0,1,2393017,13291,369,584,324925.0
The Gift,2015,7.6,1,36100000,5000000.0,1,2513544,6970,270,1105,1655987.0
The Boy Next Door,2015,4.6,6,35400000,4000000.0,1,5588384,15144,913,1499,4599000.0
Hot Pursuit,2015,5.0,1,34500000,35000000.0,1,6964819,26601,1111,1293,1630000.0
The DUFF,2015,6.6,8,34000000,8500000.0,1,12792898,56001,2083,4102,6714000.0
Woman in Gold,2015,7.4,10,33300000,11000000.0,1,6495,82,3,7,675000.0
Entourage,2015,7.1,3,32400000,30000000.0,1,1841293,5879,314,634,788000.0
Paper Towns,2015,6.9,3,31400000,12000000.0,1,2854910,23254,459,1087,4184000.0
The Lazarus Effect,2015,5.2,8,25800000,3300000.0,1,4442147,10605,691,2739,2007000.0
Sinister 2,2015,5.5,1,19000000,10000000.0,2,11037833,36874,1885,4360,5699.0
Ricki and the Flash,2015,6.1,3,23500000,18000000.0,1,638374,4018,130,269,1887.0
Project Almanac,2015,6.4,8,22300000,12000000.0,1,6646785,16041,955,2787,253499.0
Hitman: Agent 47,2015,5.9,8,16100000,35000000.0,1,13154873,46684,3565,8578,209000.0
Dope,2015,7.5,8,16800000,700000.0,1,50444,238,3,28,986572.0
Hot Tub Time Machine 2,2015,5.1,8,12300000,14000000.0,2,11496,194,9,31,1891977.0
American Ultra,2015,6.5,1,10900000,28000000.0,1,2996539,1874,32,189,155000.0
The Gunman,2015,5.8,8,10600000,40000000.0,1,3098749,4311,341,881,1520000.0
Mortdecai,2015,5.5,8,7610000,60000000.0,1,3850758,13363,453,1276,3045000.0
Blackhat,2015,5.4,3,7100000,70000000.0,1,2409338,6923,340,714,1334000.0
Me and Earl and the Dying Girl,2015,8.2,8,6740000,8000000.0,1,4032265,18398,302,1298,2208.0
The Vatican Tapes,2015,4.5,15,1710000,8495000.0,1,1364537,3824,689,772,3841.0
Maggie,2015,5.6,3,131000,4500000.0,1,5085068,14359,600,2468,3744000.0
Americons,2015,7.3,3,129000,4000000.0,1,63724,115,28,14,129000.0
Road Hard,2015,6.3,3,106000,1500000.0,1,44963,109,27,42,1188000.0
Ant-Man,2015,7.8,1,169000000,130000000.0,1,9597644,32558,2672,8359,0.0
Southpaw,2015,7.7,1,49500000,30000000.0,1,11476882,40496,1383,4435,0.0
Ex Machina,2015,7.7,3,25400000,15000000.0,1,419470,2218,46,239,0.0
The Man from U.N.C.L.E.,2015,7.6,6,34600000,75000000.0,1,5216680,20010,500,2300,0.0
Cinderella,2015,7.1,8,201000000,95000000.0,1,10164908,22726,4245,5262,0.0
Chappie,2015,7.0,1,31600000,49000000.0,1,7384182,23597,786,3481,0.0
Brotherly Love,2015,6.9,8,444000,1900000.0,1,890619,6352,293,700,0.0
Run All Night,2015,6.6,8,26400000,50000000.0,1,5671767,10073,480,1712,0.0
The Second Best Exotic Marigold Hotel,2015,6.6,1,33100000,10000000.0,2,831044,2427,99,247,0.0
Child 44,2015,6.4,4,1210000,50000000.0,1,3701061,9325,641,1859,0.0
Aloha,2015,5.5,15,21000000,37000000.0,1,7119456,18803,1128,2290,0.0
Unfinished Business,2015,5.4,8,10200000,35000000.0,1,3450614,6823,325,409,0.0
War Room,2015,5.4,1,12300000,3000000.0,1,66872,400,67,201,0.0
The Gallows,2015,4.4,15,22600000,100000.0,1,659772,2841,431,606,0.0
